Part Number,Customer,Sales forecast,date
EEFCX0E221R,PSIZ/HOS,0.0,2025-05-01
EEFCX0E221R,PSIZ/LCS,0.0,2025-05-01
EEFCX0E221R,PST/PODA,0.0,2025-05-01
EEFCX0E221R,PSIZ/HOS,0.0,2025-06-01
EEFCX0E221R,PSIZ/LCS,0.0,2025-06-01
EEFCX0E221R,PST/PODA,0.0,2025-06-01
EEFCX0E221R,PSIZ/HOS,0.0,2025-07-01
EEFCX0E221R,PSIZ/LCS,0.0,2025-07-01
EEFCX0E221R,PST/PODA,0.0,2025-07-01
EEFCX0E221R,PSIZ/HOS,0.0,2025-08-01
EEFCX0E221R,PSIZ/LCS,0.0,2025-08-01
EEFCX0E221R,PST/PODA,0.0,2025-08-01
EEFCX0E221R,PSIZ/HOS,0.0,2025-09-01
EEFCX0E221R,PSIZ/LCS,0.0,2025-09-01
EEFCX0E221R,PST/PODA,0.0,2025-09-01
EEFCX0E331R,PICS/HO2,0.0,2025-03-01
EEFCX0E331R,PICS/LIA,0.0,2025-03-01
EEFCX0E331R,PST/CHTT,0.0,2025-03-01
EEFCX0E331R,PICS/HO2,0.0,2025-04-01
EEFCX0E331R,PICS/LIA,0.0,2025-04-01
EEFCX0E331R,PST/CHTT,0.0,2025-04-01
EEFCX0E331R,PICS/HO2,0.0,2025-05-01
EEFCX0E331R,PICS/LIA,0.0,2025-05-01
EEFCX0E331R,PST/CHTT,0.0,2025-05-01
EEFCX0E331R,PICS/HO2,0.0,2025-06-01
EEFCX0E331R,PICS/LIA,0.0,2025-06-01
EEFCX0E331R,PST/CHTT,0.0,2025-06-01
EEFCX0E331R,PICS/HO2,0.0,2025-07-01
EEFCX0E331R,PICS/LIA,0.0,2025-07-01
EEFCX0E331R,PST/CHTT,0.0,2025-07-01
EEFCX0E331R,PICS/HO2,0.0,2025-08-01
EEFCX0E331R,PICS/LIA,0.0,2025-08-01
EEFCX0E331R,PST/CHTT,0.0,2025-08-01
EEFCX0E331R,PICS/HO2,0.0,2025-09-01
EEFCX0E331R,PICS/LIA,0.0,2025-09-01
EEFCX0E331R,PST/CHTT,0.0,2025-09-01
EEFCX0E331YR,PST/PODA,0.0,2025-03-01
EEFCX0E331YR,PST/PODA,0.0,2025-04-01
EEFCX0E331YR,PST/PODA,0.0,2025-05-01
EEFCX0E331YR,PST/PODA,0.0,2025-06-01
EEFCX0E331YR,PST/PODA,0.0,2025-07-01
EEFCX0E331YR,PST/PODA,0.0,2025-08-01
EEFCX0E331YR,PST/PODA,0.0,2025-09-01
EEFCX0G151R,PICS/LIA,0.0,2025-03-01
EEFCX0G151R,PIHK/CIS,0.0,2025-03-01
EEFCX0G151R,PSA/CISC,3500.0,2025-03-01
EEFCX0G151R,PSI/FLE3,0.0,2025-03-01
EEFCX0G151R,PSIZ/HW,0.0,2025-03-01
EEFCX0G151R,PST/FOXC,0.0,2025-03-01
EEFCX0G151R,PST/PODA,0.0,2025-03-01
EEFCX0G151R,PICS/LIA,3500.0,2025-04-01
EEFCX0G151R,PSA/CISC,0.0,2025-04-01
EEFCX0G151R,PSI/FLE3,0.0,2025-04-01
EEFCX0G151R,PSIZ/HW,0.0,2025-04-01
EEFCX0G151R,PST/FOXC,3500.0,2025-04-01
EEFCX0G151R,PST/PODA,0.0,2025-04-01
EEFCX0G151R,PICS/LIA,0.0,2025-05-01
EEFCX0G151R,PSA/CISC,0.0,2025-05-01
EEFCX0G151R,PSI/FLE3,0.0,2025-05-01
EEFCX0G151R,PSIZ/HW,0.0,2025-05-01
EEFCX0G151R,PST/FOXC,3500.0,2025-05-01
EEFCX0G151R,PST/PODA,0.0,2025-05-01
EEFCX0G151R,PICS/LIA,7000.0,2025-06-01
EEFCX0G151R,PSA/CISC,0.0,2025-06-01
EEFCX0G151R,PSI/FLE3,0.0,2025-06-01
EEFCX0G151R,PSIZ/HW,0.0,2025-06-01
EEFCX0G151R,PST/FOXC,3500.0,2025-06-01
EEFCX0G151R,PST/PODA,0.0,2025-06-01
EEFCX0G151R,PICS/LIA,0.0,2025-07-01
EEFCX0G151R,PSA/CISC,0.0,2025-07-01
EEFCX0G151R,PSI/FLE3,0.0,2025-07-01
EEFCX0G151R,PSIZ/HW,0.0,2025-07-01
EEFCX0G151R,PST/FOXC,3500.0,2025-07-01
EEFCX0G151R,PST/PODA,0.0,2025-07-01
EEFCX0G151R,PICS/LIA,0.0,2025-08-01
EEFCX0G151R,PSA/CISC,0.0,2025-08-01
EEFCX0G151R,PSI/FLE3,0.0,2025-08-01
EEFCX0G151R,PSIZ/HW,0.0,2025-08-01
EEFCX0G151R,PST/FOXC,3500.0,2025-08-01
EEFCX0G151R,PST/PODA,0.0,2025-08-01
EEFCX0G151R,PICS/LIA,0.0,2025-09-01
EEFCX0G151R,PSA/CISC,0.0,2025-09-01
EEFCX0G151R,PSI/FLE3,0.0,2025-09-01
EEFCX0G151R,PSIZ/HW,0.0,2025-09-01
EEFCX0G151R,PST/FOXC,3500.0,2025-09-01
EEFCX0G151R,PST/PODA,0.0,2025-09-01
EEFCX0G151ZR,PICS/COM,3500.0,2025-03-01
EEFCX0G151ZR,PICS/WA2,0.0,2025-03-01
EEFCX0G151ZR,PICS/COM,3500.0,2025-04-01
EEFCX0G151ZR,PICS/WA2,0.0,2025-04-01
EEFCX0G151ZR,PICS/COM,3500.0,2025-05-01
EEFCX0G151ZR,PICS/WA2,0.0,2025-05-01
EEFCX0G151ZR,PICS/COM,3500.0,2025-06-01
EEFCX0G151ZR,PICS/WA2,0.0,2025-06-01
EEFCX0G151ZR,PICS/COM,3500.0,2025-07-01
